mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_k,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_f1_macro,split1_test_f1_macro,split2_test_f1_macro,split3_test_f1_macro,mean_test_f1_macro,std_test_f1_macro,rank_test_f1_macro,split0_test_f1_deceased,split1_test_f1_deceased,split2_test_f1_deceased,split3_test_f1_deceased,mean_test_f1_deceased,std_test_f1_deceased,rank_test_f1_deceased
0.0012010931968688965,0.0004453770854808292,20.958519399166107,0.33009450945720575,3,{'k': 3},0.8980490874764002,0.9016991818753933,0.901686807653575,0.9008056394763343,0.9005601791204256,0.0014943603279118601,2,0.8986400825702489,0.902733372395167,0.9023075522730656,0.9011978861100417,0.9012197233371307,0.001591346019522249,2,0.8628824179874678,0.8676656436179816,0.8721452976083438,0.8672146118721461,0.8674769927714848,0.0032790097733152576,2
0.0011497735977172852,0.0004187845756146058,21.26375150680542,0.16721912803209452,4,{'k': 4},0.8998112020138452,0.9077407174323474,0.9038267875125882,0.9008056394763343,0.9030460866087787,0.0030876015840222383,1,0.9003343892685787,0.9087435855353455,0.904414959117667,0.9011642391458873,0.9036642932668696,0.0033053456859240583,1,0.8629404168972514,0.8749323226854357,0.8733309274630098,0.8655894234300403,0.8691982726189343,0.005053284004659387,1
0.0007913112640380859,0.0002087687207718647,20.962547421455383,0.21859057007555618,5,{'k': 5},0.8896161107614852,0.8950283196979232,0.8890986908358509,0.8875881168177241,0.8903328095282458,0.002811488035628525,4,0.8905979587664481,0.8962552612964787,0.8898310524674681,0.8882442198152095,0.8912321230864011,0.003021781208967561,4,0.8540501533465632,0.8630307337004797,0.8602341255764456,0.8540172166427547,0.8578330573165608,0.003925938457065751,4
0.0007510185241699219,0.0002481373361884711,20.892870604991913,0.2817785455005534,6,{'k': 6},0.8945248584015104,0.897293895531781,0.8908610271903323,0.888595166163142,0.8928187368216914,0.0033395011766014417,3,0.8955041225414829,0.8985238359036302,0.8916958715424617,0.8891840448291993,0.8937269687041935,0.003568323265373076,3,0.8600143575017947,0.8636929091878444,0.8611748103721998,0.8540211355901844,0.8597258031630057,0.003551902582681566,3
0.0008116960525512695,0.0002977413036146204,20.815526068210602,0.25430965418618334,7,{'k': 7},0.8826935179358086,0.8814348646947766,0.8765105740181269,0.881294058408862,0.8804832537643936,0.00235745729590985,6,0.8838363838757773,0.8829210998588225,0.8772897369790226,0.8818677406664889,0.8814787403450278,0.0025168409979386464,6,0.8493150684931507,0.8467741935483871,0.8482436407682991,0.8487097914457405,0.8482606735638943,0.0009385318976017519,6
0.0007606744766235352,0.00018614831160720924,20.984894275665283,0.22661368742276258,8,{'k': 8},0.8848332284455632,0.8862177470106986,0.8806646525679759,0.8856998992950654,0.8843538818298258,0.0021866608192463548,5,0.8858747814772127,0.8876693587217585,0.8814303558243258,0.8863166927623961,0.8853227971964233,0.0023425395338018433,5,0.8487665355738291,0.8516242317822651,0.8496846531184303,0.8537619215824797,0.8509593355142511,0.001918968636141423,5
0.0007288455963134766,0.00017291569411927602,21.01278531551361,0.646361248466285,9,{'k': 9},0.8723725613593455,0.8742605412208937,0.865055387713998,0.8733635448136958,0.8712630087769833,0.003645652156626722,8,0.8735377883165656,0.8758117640072948,0.8656882969877117,0.8737898606217075,0.87220692748332,0.0038653673105194662,8,0.8361204013377926,0.8411764705882353,0.8322054485511018,0.8383909668313339,0.8369733218271158,0.0032839102379374134,8
0.0011472702026367188,0.0004918585976974105,21.241789162158966,0.5927493955212081,10,{'k': 10},0.8784140969162996,0.8795468848332284,0.8705941591137966,0.8785246727089627,0.8767699533930718,0.003592841180938546,7,0.8794522891170028,0.8810298130272662,0.8712532614013586,0.8789404742324972,0.8776689594445313,0.003783303211562794,7,0.8417317246273952,0.8470751605624024,0.8377200627505664,0.8443187842374977,0.8427114330444654,0.0034459868579928715,7
0.0007152557373046875,0.00011480628242052596,21.022591590881348,0.6752904361833133,11,{'k': 11},0.8674638137193204,0.8643171806167401,0.8557401812688822,0.8610271903323263,0.8621370914843173,0.004338176439061494,10,0.8685936639210624,0.8659422622896501,0.856423635994497,0.861309976623074,0.8630673847070708,0.00463768700958075,10,0.8282935455349248,0.826336875108866,0.8183556405353729,0.8197363733523334,0.8231806086328742,0.004220403287644681,10
0.0006790757179260254,0.00010391582216250745,20.759572446346283,0.28524270766709925,12,{'k': 12},0.8716173694147262,0.8740088105726872,0.8592648539778449,0.8659365558912386,0.8677068974641242,0.005687884211489386,9,0.8727278376815777,0.8755201172964787,0.8599861388249428,0.8662429790263998,0.8686192682073497,0.006014144462855209,9,0.831651619755709,0.8381786339754816,0.8226703755215576,0.8250801567509797,0.829395196500932,0.006043240128902782,9
0.0007082223892211914,0.0001195331584779195,21.319548845291138,0.13928449406596866,13,{'k': 13},0.8547514159848961,0.8543738200125865,0.8474320241691843,0.8566213494461229,0.8532946524031975,0.0034901320135410116,12,0.8559770911377323,0.855857960047393,0.8482508427487992,0.8569306102976463,0.8542541260578927,0.003490840532991754,12,0.8091359773371105,0.8105726872246695,0.8074318458065636,0.8132102272727273,0.8100876844102678,0.002118060828912704,12
