mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_max_depth,param_n_estimators,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_f1_macro,split1_test_f1_macro,split2_test_f1_macro,split3_test_f1_macro,split4_test_f1_macro,mean_test_f1_macro,std_test_f1_macro,rank_test_f1_macro,split0_test_f1_deceased,split1_test_f1_deceased,split2_test_f1_deceased,split3_test_f1_deceased,split4_test_f1_deceased,mean_test_f1_deceased,std_test_f1_deceased,rank_test_f1_deceased
1.3096099853515626,0.05399223966554623,0.09056477546691895,0.0019441329423986527,True,,100,"{'bootstrap': True, 'max_depth': None, 'n_estimators': 100}",0.9196035242290749,0.9257394587791064,0.9263687853996224,0.9265145554681353,0.9295043273013375,0.9255461302354553,0.0032444991920368657,13,0.92024345572893,0.9263095343383633,0.926890386562118,0.9269233432261498,0.9299935899121695,0.9260720619535461,0.00318753071061378,13,0.8898400540662312,0.8981439565414215,0.8966932725199545,0.8969001148105625,0.9009337280801639,0.8965022252036668,0.003658219211873014,13
2.6307411193847656,0.12643215661819318,0.17903308868408202,0.016339198336313483,True,,200,"{'bootstrap': True, 'max_depth': None, 'n_estimators': 200}",0.9196035242290749,0.9262114537444934,0.9262114537444934,0.9261998426435877,0.9296616837136114,0.9255775916150523,0.0032729206572266385,12,0.92024345572893,0.926736695460959,0.9267236814118549,0.926615472349377,0.9300651258945555,0.9260768861691352,0.0031962081993907377,12,0.8898400540662312,0.898478310243016,0.896598950011413,0.8967889908256882,0.9006864988558352,0.8964785608004366,0.0036300515845909312,14
3.7093458652496336,0.012789999418347478,0.24773974418640138,0.003133858248170168,True,,300,"{'bootstrap': True, 'max_depth': None, 'n_estimators': 300}",0.9196035242290749,0.9254247954688484,0.9260541220893643,0.9258851298190401,0.9295043273013375,0.9252943797815331,0.0031953934740833662,16,0.9202699405940322,0.9260164821052778,0.9266103901212382,0.9263046154307305,0.9299210012000919,0.925824485890274,0.0031151065315336,16,0.8894393154694888,0.8980604420387912,0.8966772872098315,0.8963302752293577,0.9005259547221587,0.8962066549339255,0.0036912474160989703,17
0.9642939567565918,0.01112001290628403,0.058281469345092776,0.0005338185149780912,True,10,100,"{'bootstrap': True, 'max_depth': 10, 'n_estimators': 100}",0.8330711139081183,0.8371617369414727,0.8477029578351164,0.8451612903225807,0.8338316286388671,0.839385745529231,0.005969957107748192,24,0.8307781512110671,0.8358273984437767,0.8458117575694689,0.8434205479013258,0.8315082379753628,0.8374692186202003,0.006132137036072318,24,0.7624256837098693,0.7660377358490565,0.7781212841854934,0.7760910815939279,0.7568994480441564,0.7679150466765007,0.008074845459971695,24
1.9413798332214356,0.02317701025409936,0.11059803962707519,0.0009761779324108608,True,10,200,"{'bootstrap': True, 'max_depth': 10, 'n_estimators': 200}",0.8348017621145375,0.8396790434235368,0.8475456261799874,0.8465774980330448,0.8325727773406766,0.8402353414183565,0.0060367433865594995,20,0.8324951653855964,0.8386730885883272,0.8456076755624874,0.8451286231747169,0.8302719418096999,0.8384352989041656,0.006296438770029887,20,0.7649156168290944,0.7709941520467837,0.7773530817009078,0.7787234042553192,0.755385351842987,0.7694743213350185,0.008593149984515058,22
2.9788901805877686,0.14046462526708398,0.16829447746276854,0.004876200581634368,True,10,300,"{'bootstrap': True, 'max_depth': 10, 'n_estimators': 300}",0.8333857772183764,0.8399937067337948,0.8475456261799874,0.8478363493312352,0.8339889850511408,0.8405500889029069,0.0062723542567254915,19,0.8311691925100547,0.8390499809165437,0.845564695837098,0.8464347940953707,0.8317280231562029,0.8387893373030539,0.006516980774378145,19,0.763800047382137,0.7716756251460621,0.7772738123657198,0.780637544273908,0.7581261950286807,0.7703026448393016,0.008340768568999611,19
1.3447325706481934,0.024353192054896174,0.09381394386291504,0.00307874727865073,True,20,100,"{'bootstrap': True, 'max_depth': 20, 'n_estimators': 100}",0.9189741976085588,0.9236941472624292,0.9273127753303965,0.9261998426435877,0.9301337529504328,0.925262943159081,0.0037633448357205154,18,0.9196424662145382,0.9242872935186396,0.9278501611820463,0.9265776976944805,0.9305162982761596,0.9257747833771728,0.003667472367546764,18,0.8894382022471911,0.8956168097605061,0.8985902683037745,0.896551724137931,0.9014665444546288,0.8963327097808064,0.003988672541122894,15
2.637665939331055,0.05460088454659595,0.17437424659729003,0.0019798620159958693,True,20,200,"{'bootstrap': True, 'max_depth': 20, 'n_estimators': 200}",0.9192888609188169,0.9238514789175583,0.9282567652611705,0.9266719118804091,0.9291896144767899,0.925451726290949,0.003574090257341178,14,0.919972154213697,0.9244240540299321,0.9288127707504529,0.9271035395799321,0.9295723563710152,0.9259769749890058,0.0034844537221487087,14,0.8898856245795022,0.895724949106537,0.9002952532364297,0.8975475590190236,0.8999541073887104,0.8966814986660406,0.003784656976307964,11
3.6959044456481935,0.08276833596175899,0.24580588340759277,0.005355506332703174,True,20,300,"{'bootstrap': True, 'max_depth': 20, 'n_estimators': 300}",0.9202328508495909,0.9244808055380742,0.9279421019509125,0.9271439811172305,0.9295043273013375,0.9258608133514292,0.0032505956112603533,10,0.9209059222635809,0.9250483111440045,0.9285458273354483,0.9275619977932861,0.9298923978921955,0.9263908912857032,0.003167434133693317,10,0.89123121776183,0.8964737793851717,0.8999094202898551,0.8981651376146788,0.900252235725751,0.8972063581554572,0.0032784797545596625,10
1.2427858352661132,0.010572496130675207,0.08742432594299317,0.002174768963708413,True,30,100,"{'bootstrap': True, 'max_depth': 30, 'n_estimators': 100}",0.9196035242290749,0.9257394587791064,0.9263687853996224,0.9266719118804091,0.9295043273013375,0.92557760151791,0.003254487969200874,11,0.92024345572893,0.9263095343383633,0.926890386562118,0.927075464945715,0.9299935899121695,0.9261024862974592,0.003196224951771232,11,0.8898400540662312,0.8981439565414215,0.8966932725199545,0.8971061093247588,0.9009337280801639,0.8965434241065061,0.003663624220769365,12
